Dados,DFS Tempo (microssegundos),BFS Tempo (microssegundos),DFS Memoria (KB),BFS Memoria(KB)
Teste 1,68,5131,1032,1084
Teste 2,9,118,1088,1088
Teste 3,41,657,1156,1172
Teste 4,361,11139,1172,1188
Teste 5,25,286,1196,1196
Teste 6,405,14756,1144,1144
Teste 7,330,8078,1144,1396
Teste 8,16,1915,1400,1416
Teste 9,8,103,1416,1116
Teste 10,12,138,1136,1136
Teste 11,21,1964,1136,1416
Teste 12,65,845,1416,1416
Teste 13,20,339,1416,1416
Teste 14,51,1568,1136,1416
Teste 15,13,241,1132,1120
Teste 16,65,4253,1120,1136
Teste 17,7,97,1136,1136
Teste 18,8,97,1136,1136
Teste 19,15,249,1136,1136
Teste 20,7,93,1136,1136
Teste 21,12,203,1136,1136
Teste 22,16,792,1136,1120
Teste 23,59,637,1120,1136
Teste 24,10,118,1136,1112
Teste 25,13,360,1120,1136
Teste 26,18,239,1136,1120
Teste 27,16,264,1120,1136
Teste 28,7,90,1136,1112
Teste 29,9,95,1120,1120
Teste 30,14,181,1120,1120
Teste 31,8,98,1120,1120
Teste 32,96,2143,1120,1116
Teste 33,12,254,1392,1416
Teste 34,13,219,1416,1416
Teste 35,8,100,1416,1416
Teste 36,9,111,1416,1416
Teste 37,637,10011,1416,1140
Teste 38,7,93,1148,1148
Teste 39,12,236,1148,1156
Teste 40,10,106,1156,1156
Teste 41,8,121,1156,1156
Teste 42,20,347,1156,1156
Teste 43,20,313,1156,1156
Teste 44,15,341,1156,1156
Teste 45,8,89,1156,1156
Teste 46,50,9360,1156,1192
Teste 47,25,255,1192,1156
Teste 48,9,140,1156,1156
Teste 49,102,1682,1156,1172
Teste 50,20,176,1324,1324
Teste 51,9,108,1324,1324
Teste 52,78,1509,1324,1308
Teste 53,12,133,1308,1308
Teste 54,22,7082,1308,1172
Teste 55,22,235,1172,1312
Teste 56,32,509,1312,1312
Teste 57,16,181,1312,1324
Teste 58,7,86,1324,1324
Teste 59,13,195,1324,1324
Teste 60,8,104,1324,1324
Teste 61,8,99,1324,1324
Teste 62,11,150,1324,1324
Teste 63,17,356,1324,1324
Teste 64,9,212,1324,1324
Teste 65,31,1625,1324,1324
Teste 66,243,3741,1324,1312
Teste 67,29,482,1172,1312
Teste 68,8,96,1312,1312
Teste 69,78,2386,1312,1324
Teste 70,22,455,1152,1176
Teste 71,11,137,1176,1176
Teste 72,10,116,1176,1176
Teste 73,11,109,1176,1176
Teste 74,19,1310,1176,1176
Teste 75,10,115,1176,1176
Teste 76,6,91,1176,1176
Teste 77,10,120,1176,1176
Teste 78,10,128,1176,1176
Teste 79,18,224,1176,1176
Teste 80,59,947,1176,1176
Teste 81,35,395,1176,1176
Teste 82,12,169,1176,1176
Teste 83,11,140,1176,1176
Teste 84,18,190,1176,1176
Teste 85,29,470,1176,1176
Teste 86,30,413,1176,1176
Teste 87,8,109,1176,1176
Teste 88,22,1449,1176,1324
Teste 89,8,95,1324,1324
Teste 90,16,216,1324,1324
Teste 91,9,135,1324,1324
Teste 92,9,116,1324,1324
Teste 93,15,215,1324,1324
Teste 94,25,1854,1324,1320
Teste 95,23,274,1320,1324
Teste 96,86,8602,1324,1184
Teste 97,14,232,1196,1196
Teste 98,15,283,1196,1196
Teste 99,46,863,1196,1196
Teste 100,8,87,1196,1196
Tempo Medio,40.88,1205.89
Tempo Desvio Padrao,88.868,2597.69
Memoria Media,,,1220.4,1225.64
Memoria Desvio Padrao,,,96.6354,97.9928
